source,author,title,group_id,work_id,urn,output
martyn.garrison.ie.xml,Archibald H. Grimke,William Lloyd Garrison the Abolitionist,archibald_h_grimke,martyn_garrison,urn:cts:americanLit:archibald_h_grimke.martyn_garrison.perseus-eng1,data/archibald_h_grimke/martyn_garrison/archibald_h_grimke.martyn_garrison.perseus-eng1.xml
mcclellan.story.ie.xml,Elias Nason,"McClellan's Own Story: the war for the union, the soldiers who fought it, the civilians who directed it, and his relations to them.",elias_nason,mcclellan_story,urn:cts:americanLit:elias_nason.mcclellan_story.perseus-eng1,data/elias_nason/mcclellan_story/elias_nason.mcclellan_story.perseus-eng1.xml
mcguire.diary.ie.xml,Judith White McGuire,"Diary of a southern refugee during the war, by a lady of Virginia",judith_white_mcguire,mcguire_diary,urn:cts:americanLit:judith_white_mcguire.mcguire_diary.perseus-eng1,data/judith_white_mcguire/mcguire_diary/judith_white_mcguire.mcguire_diary.perseus-eng1.xml
mclellan.story.ie.xml,Elias Nason,"McClellan's Own Story: the war for the union, the soldiers who fought it, the civilians who directed it, and his relations to them.",elias_nason,mclellan_story,urn:cts:americanLit:elias_nason.mclellan_story.perseus-eng1,data/elias_nason/mclellan_story/elias_nason.mclellan_story.perseus-eng1.xml
meade.let.ie.xml,George Meade,"The Life and Letters of George Gordon Meade, Major-General United States Army",george_meade,meade_let,urn:cts:americanLit:george_meade.meade_let.perseus-eng1,data/george_meade/meade_let/george_meade.meade_let.perseus-eng1.xml
merrill.camb.ie.xml,Anonymous,Cambridge sketches,anonymous,merrill_camb,urn:cts:americanLit:anonymous.merrill_camb.perseus-eng1,data/anonymous/merrill_camb/anonymous.merrill_camb.perseus-eng1.xml
mhs01.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs01,urn:cts:americanLit:anonymous.mhs01.perseus-eng1,data/anonymous/mhs01/anonymous.mhs01.perseus-eng1.xml
mhs02.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs02,urn:cts:americanLit:anonymous.mhs02.perseus-eng1,data/anonymous/mhs02/anonymous.mhs02.perseus-eng1.xml
mhs03.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs03,urn:cts:americanLit:anonymous.mhs03.perseus-eng1,data/anonymous/mhs03/anonymous.mhs03.perseus-eng1.xml
mhs04.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs04,urn:cts:americanLit:anonymous.mhs04.perseus-eng1,data/anonymous/mhs04/anonymous.mhs04.perseus-eng1.xml
mhs05.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs05,urn:cts:americanLit:anonymous.mhs05.perseus-eng1,data/anonymous/mhs05/anonymous.mhs05.perseus-eng1.xml
mhs06.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs06,urn:cts:americanLit:anonymous.mhs06.perseus-eng1,data/anonymous/mhs06/anonymous.mhs06.perseus-eng1.xml
mhs07.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs07,urn:cts:americanLit:anonymous.mhs07.perseus-eng1,data/anonymous/mhs07/anonymous.mhs07.perseus-eng1.xml
mhs08.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs08,urn:cts:americanLit:anonymous.mhs08.perseus-eng1,data/anonymous/mhs08/anonymous.mhs08.perseus-eng1.xml
mhs09.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs09,urn:cts:americanLit:anonymous.mhs09.perseus-eng1,data/anonymous/mhs09/anonymous.mhs09.perseus-eng1.xml
mhs10.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs10,urn:cts:americanLit:anonymous.mhs10.perseus-eng1,data/anonymous/mhs10/anonymous.mhs10.perseus-eng1.xml
mhs11.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs11,urn:cts:americanLit:anonymous.mhs11.perseus-eng1,data/anonymous/mhs11/anonymous.mhs11.perseus-eng1.xml
mhs12.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs12,urn:cts:americanLit:anonymous.mhs12.perseus-eng1,data/anonymous/mhs12/anonymous.mhs12.perseus-eng1.xml
mhs13.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs13,urn:cts:americanLit:anonymous.mhs13.perseus-eng1,data/anonymous/mhs13/anonymous.mhs13.perseus-eng1.xml
mhs14.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs14,urn:cts:americanLit:anonymous.mhs14.perseus-eng1,data/anonymous/mhs14/anonymous.mhs14.perseus-eng1.xml
mhs15.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs15,urn:cts:americanLit:anonymous.mhs15.perseus-eng1,data/anonymous/mhs15/anonymous.mhs15.perseus-eng1.xml
mhs16.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs16,urn:cts:americanLit:anonymous.mhs16.perseus-eng1,data/anonymous/mhs16/anonymous.mhs16.perseus-eng1.xml
mhs17.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs17,urn:cts:americanLit:anonymous.mhs17.perseus-eng1,data/anonymous/mhs17/anonymous.mhs17.perseus-eng1.xml
mhs18.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs18,urn:cts:americanLit:anonymous.mhs18.perseus-eng1,data/anonymous/mhs18/anonymous.mhs18.perseus-eng1.xml
mhs19.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs19,urn:cts:americanLit:anonymous.mhs19.perseus-eng1,data/anonymous/mhs19/anonymous.mhs19.perseus-eng1.xml
mhs20.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs20,urn:cts:americanLit:anonymous.mhs20.perseus-eng1,data/anonymous/mhs20/anonymous.mhs20.perseus-eng1.xml
mhs21.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs21,urn:cts:americanLit:anonymous.mhs21.perseus-eng1,data/anonymous/mhs21/anonymous.mhs21.perseus-eng1.xml
mhs22.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs22,urn:cts:americanLit:anonymous.mhs22.perseus-eng1,data/anonymous/mhs22/anonymous.mhs22.perseus-eng1.xml
mhs23.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs23,urn:cts:americanLit:anonymous.mhs23.perseus-eng1,data/anonymous/mhs23/anonymous.mhs23.perseus-eng1.xml
mhs24.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs24,urn:cts:americanLit:anonymous.mhs24.perseus-eng1,data/anonymous/mhs24/anonymous.mhs24.perseus-eng1.xml
mhs25.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs25,urn:cts:americanLit:anonymous.mhs25.perseus-eng1,data/anonymous/mhs25/anonymous.mhs25.perseus-eng1.xml
mhs26.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs26,urn:cts:americanLit:anonymous.mhs26.perseus-eng1,data/anonymous/mhs26/anonymous.mhs26.perseus-eng1.xml
mhs27.ie.xml,Charles Cummings,Medford Historical Society Papers,charles_cummings,mhs27,urn:cts:americanLit:charles_cummings.mhs27.perseus-eng1,data/charles_cummings/mhs27/charles_cummings.mhs27.perseus-eng1.xml
mhs28.ie.xml,Wild,Medford Historical Society Papers,wild,mhs28,urn:cts:americanLit:wild.mhs28.perseus-eng1,data/wild/mhs28/wild.mhs28.perseus-eng1.xml
mhs29.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs29,urn:cts:americanLit:anonymous.mhs29.perseus-eng1,data/anonymous/mhs29/anonymous.mhs29.perseus-eng1.xml
mhs30.ie.xml,Anonymous,Medford Historical Society Papers,anonymous,mhs30,urn:cts:americanLit:anonymous.mhs30.perseus-eng1,data/anonymous/mhs30/anonymous.mhs30.perseus-eng1.xml
mtauburn.ie.xml,Anonymous,"The picturesque pocket companion, and visitor's guide, through Mount Auburn",anonymous,mtauburn,urn:cts:americanLit:anonymous.mtauburn.perseus-eng1,data/anonymous/mtauburn/anonymous.mtauburn.perseus-eng1.xml
nason.sumner.ie.xml,Elias Nason,"The Life and Times of Charles Sumner: His Boyhood, Education and Public Career.",elias_nason,nason_sumner,urn:cts:americanLit:elias_nason.nason_sumner.perseus-eng1,data/elias_nason/nason_sumner/elias_nason.nason_sumner.perseus-eng1.xml
nelson.walth.ie.xml,"Charles A. Nelson, A. M.","Waltham, past, present and its industries, with an historical sketch of Watertown from its settlement in 1630 to the incorporation of Waltham, January 15, 1739.",charles_a_nelson_a_m,nelson_walth,urn:cts:americanLit:charles_a_nelson_a_m.nelson_walth.perseus-eng1,data/charles_a_nelson_a_m/nelson_walth/charles_a_nelson_a_m.nelson_walth.perseus-eng1.xml
nelson.waltham.ie.xml,"Charles A. Nelson, A. M.","Waltham, past, present and its industries, with an historical sketch of Watertown from its settlement in 1630 to the incorporation of Waltham, January 15, 1739.",charles_a_nelson_a_m,nelson_waltham,urn:cts:americanLit:charles_a_nelson_a_m.nelson_waltham.perseus-eng1,data/charles_a_nelson_a_m/nelson_waltham/charles_a_nelson_a_m.nelson_waltham.perseus-eng1.xml
nicol.linc.ie.xml,John G. Nicolay,"A Short Life of Abraham Lincoln, condensed from Nicolay and Hayes' Abraham Lincoln: A History",john_g_nicolay,nicol_linc,urn:cts:americanLit:john_g_nicolay.nicol_linc.perseus-eng1,data/john_g_nicolay/nicol_linc/john_g_nicolay.nicol_linc.perseus-eng1.xml
nicol.outbreak.ie.xml,John G. Nicolay,The Outbreak of Rebellion,john_g_nicolay,nicol_outbreak,urn:cts:americanLit:john_g_nicolay.nicol_outbreak.perseus-eng1,data/john_g_nicolay/nicol_outbreak/john_g_nicolay.nicol_outbreak.perseus-eng1.xml
oats.prison.ie.xml,Sergeant Oats,Prison Life in Dixie: giving a short history of the inhuman and barbarous treatment of our soldiers by rebel authorities,sergeant_oats,oats_prison,urn:cts:americanLit:sergeant_oats.oats_prison.perseus-eng1,data/sergeant_oats/oats_prison/sergeant_oats.oats_prison.perseus-eng1.xml
or1.38.ie.xml,Anonymous,"The Atlanta (Georgia) Campaign: May 1 - September 8, 1864.",anonymous,or1_38,urn:cts:americanLit:anonymous.or1_38.perseus-eng1,data/anonymous/or1_38/anonymous.or1_38.perseus-eng1.xml
or10.1.ie.xml,Anonymous,Official Records of the Union and Confederate Armies,anonymous,or10_1,urn:cts:americanLit:anonymous.or10_1.perseus-eng1,data/anonymous/or10_1/anonymous.or10_1.perseus-eng1.xml
or10.2.ie.xml,Anonymous,Official Records of the Union and Confederate Armies,anonymous,or10_2,urn:cts:americanLit:anonymous.or10_2.perseus-eng1,data/anonymous/or10_2/anonymous.or10_2.perseus-eng1.xml
paige.cambridge.ie.xml,Lucius R. Paige,"History of Cambridge, Massachusetts, 1630-1877, with a genealogical register",lucius_r_paige,paige_cambridge,urn:cts:americanLit:lucius_r_paige.paige_cambridge.perseus-eng1,data/lucius_r_paige/paige_cambridge/lucius_r_paige.paige_cambridge.perseus-eng1.xml
parton.greeley.ie.xml,James Parton,The life of Horace Greeley,james_parton,parton_greeley,urn:cts:americanLit:james_parton.parton_greeley.perseus-eng1,data/james_parton/parton_greeley/james_parton.parton_greeley.perseus-eng1.xml
perry.amlit.ie.xml,Bliss Perry,The American spirit in lierature: a chronicle of great interpreters,bliss_perry,perry_amlit,urn:cts:americanLit:bliss_perry.perry_amlit.perseus-eng1,data/bliss_perry/perry_amlit/bliss_perry.perry_amlit.perseus-eng1.xml
phcw.index.ie.xml,Anonymous,The Photographic History of The Civil War: in ten volumes,anonymous,phcw_index,urn:cts:americanLit:anonymous.phcw_index.perseus-eng1,data/anonymous/phcw_index/anonymous.phcw_index.perseus-eng1.xml
phcw01.ie.xml,Anonymous,The Photographic History of The Civil War: in ten volumes,anonymous,phcw01,urn:cts:americanLit:anonymous.phcw01.perseus-eng1,data/anonymous/phcw01/anonymous.phcw01.perseus-eng1.xml
